Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,nav_nalanda_btn,css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda'],css=.phase-btn[data-phase='nalanda']
UI,avatar_nalanda_label_expected,Nalanda,Nalanda,Nalanda,Nalanda,Nalanda,Nalanda,Nalanda,Nalanda,Nalanda
UI,signin_profiles_heading_locator,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading,css=#signin-profiles-heading
UI,signin_profiles_heading_expected,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles,Try demo — test profiles
UI,version_launch_section_locator,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3,css=#version-compare-block h3
UI,version_launch_section_expected,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new,Version compare — old vs new
UI,version_baseline_btn_locator,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline,css=#btn-snapshot-baseline
UI,version_baseline_btn_expected,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline,Save latest Verify as baseline
UI,hunt_evidence_heading_locator,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3,css=#hunt-evidence h3
UI,hunt_evidence_heading_expected,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence,Hunt evidence
UI,add_project_modal_title_locator,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2,css=#add-project-modal h2
UI,add_project_modal_title_expected,Add challenge,Add challenge,Add challenge,Add challenge,Add challenge,Add challenge,Add challenge,Add challenge,Add challenge
UI,admin_url,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin,http://127.0.0.1:8765/admin
UI,admin_ecosystem_heading_locator,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1,css=.admin-brand h1
UI,admin_ecosystem_heading_expected,Admin Panel,Admin Panel,Admin Panel,Admin Panel,Admin Panel,Admin Panel,Admin Panel,Admin Panel,Admin Panel
UI,fstart_toolbar_locator,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar,css=.fstart-toolbar
UI,fstart_chip_row_locator,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row,css=#fstart-chip-row
UI,fstart_chip_locator,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip,css=.fstart-chip
UI,btn_run_parallel_locator,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel,css=#btn-run-parallel
UI,btn_fstart_edit_locator,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit,css=#btn-fstart-edit
UI,btn_fstart_new_locator,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new,css=#btn-fstart-new
UI,topbar_github_locator,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github,css=#topbar-github
UI,arena_cost_widget_locator,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget,css=#arena-cost-widget
UI,fstart_label_expected,fStarts,fStarts,fStarts,fStarts,fStarts,fStarts,fStarts,fStarts,fStarts
UI,btn_run_expected,Run,Run,Run,Run,Run,Run,Run,Run,Run
UI,btn_run_parallel_expected,Run parallel,Run parallel,Run parallel,Run parallel,Run parallel,Run parallel,Run parallel,Run parallel,Run parallel
UI,topbar_github_expected,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub,GitHub
UI,projects_label_expected,Projects,Projects,Projects,Projects,Projects,Projects,Projects,Projects,Projects
UI,user_menu_btn_locator,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn,css=#user-menu-btn
UI,heal_heading_expected,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze,Heal — fix from Analyze
UI,heal_edit_ypad_locator,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad,css=#btn-heal-edit-ypad
UI,heal_edit_ypad_expected,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build,Edit yPAD on Build
UI,heal_rerun_locator,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun,css=#btn-heal-rerun
UI,heal_rerun_expected,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun
UI,heal_failures_table_locator,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body,css=#heal-failures-body
UI,btn_loop_run_locator,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run,css=#btn-loop-run
UI,btn_loop_run_expected,Loop,Loop,Loop,Loop,Loop,Loop,Loop,Loop,Loop
UI,loop_verify_checkbox_locator,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full,css=#loop-verify-full
UI,loop_built_summary_locator,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary,css=#loop-built-summary
UI,loop_times_fieldset_locator,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset,css=.loop-times-fieldset
UI,build_strategy_locator,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy,css=#build-strategy
UI,build_strategy_sub_locator,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label
UI,build_strategy_expected,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md
UI,ypad_cov_chips_locator,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips,css=#ypad-coverage-chips
UI,ypad_cov_manual_locator,css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual'],css=.ypad-cov-chip[data-ypad-cov='manual']
UI,ypad_cov_manual_expected,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
UI,analyze_fail_thead_locator,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead,css=.fail-table thead
UI,analyze_fail_thead_expected,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output,Plan Step Issue Input Expected Output
UI,rebuild_brahl_summary_locator,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary,css=#build-brahl-plan summary
UI,rebuild_brahl_expected,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan,Rebuild BRAHL plan
UI,budget_block_expected,QA wallet,QA wallet,QA wallet,QA wallet,QA wallet,QA wallet,QA wallet,QA wallet,QA wallet
UI,build_title_client_expected,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live,Build — qoa_web_live
UI,tagline_expected,Your QA agent,Your QA agent,Your QA agent,Your QA agent,Your QA agent,Your QA agent,Your QA agent,Your QA agent,Your QA agent
UI,ai_docs_btn_locator,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs,css=#btn-ai-docs
UI,ai_docs_btn_expected,.md,.md,.md,.md,.md,.md,.md,.md,.md
UI,ai_docs_modal_title_locator,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title,css=#ai-docs-title
UI,ai_docs_modal_title_expected,AI context,AI context,AI context,AI context,AI context,AI context,AI context,AI context,AI context
UI,ai_docs_close_locator,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close,css=#ai-docs-close
UI,ai_docs_list_prompt_locator,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt,css=#ai-docs-list-prompt
UI,build_doc_strategy_locator,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label,css=#btn-build-doc-strategy .build-doc-chip-label
UI,build_doc_strategy_expected,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md,test strategy.md
UI,build_doc_plan_locator,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label,css=#btn-build-doc-plan .build-doc-chip-label
UI,build_doc_plan_expected,test plan.md,test plan.md,test plan.md,test plan.md,test plan.md,test plan.md,test plan.md,test plan.md,test plan.md
UI,heal_ai_btn_locator,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai,css=#btn-heal-ai
UI,heal_ai_btn_expected,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal,AI auto-heal
UI,heal_apply_btn_locator,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply,css=#btn-heal-apply
UI,heal_apply_btn_expected,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD,Apply to yPAD
UI,run_log_locator,css=#run-log,css=#run-log,css=#run-log,css=#run-log,css=#run-log,css=#run-log,css=#run-log,css=#run-log,css=#run-log
UI,ai_toggle_locator,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle,css=#ai-toggle
UI,loop_built_summary_expected,Built,Built,Built,Built,Built,Built,Built,Built,Built
UI,build_panel_title_expected,Build,Build,Build,Build,Build,Build,Build,Build,Build
